image_path,prediction,confidence,Optimistic,Pessimistic,Hostile,Neutral
Sample_Dataset/Reichel/images_with_faces/1039000_547341_image.jpeg,Pessimistic,0.6897,0.0618,0.6897,0.113,0.1355
Sample_Dataset/Reichel/images_with_faces/1039005_547345_image.jpeg,Neutral,0.9552,0.0339,0.0091,0.0018,0.9552
Sample_Dataset/Reichel/images_with_faces/1039012_547352_image.jpeg,Optimistic,0.8199,0.8199,0.0076,0.1257,0.0467
Sample_Dataset/Reichel/images_with_faces/1039033_547377_image.jpeg,Pessimistic,0.9976,0.0008,0.9976,0.0003,0.0014
Sample_Dataset/Reichel/images_with_faces/1039034_547378_image.jpeg,Neutral,0.9381,0.0161,0.0014,0.0444,0.9381
Sample_Dataset/Reichel/images_with_faces/1039056_547397_image.jpeg,Optimistic,0.9742,0.9742,0.0039,0.0043,0.0176
Sample_Dataset/Reichel/images_with_faces/1039066_547406_image.jpeg,Optimistic,0.948,0.948,0.0011,0.0029,0.048
Sample_Dataset/Reichel/images_with_faces/1039089_547418_image.jpeg,Neutral,0.4411,0.1394,0.0063,0.4132,0.4411
Sample_Dataset/Reichel/images_with_faces/1039243_547478_image.jpeg,Unknown,0.3617,0.2407,0.2901,0.1074,0.3617
Sample_Dataset/Reichel/images_with_faces/1039268_547490_image.jpeg,Optimistic,0.7394,0.7394,0.0165,0.0658,0.1783
Sample_Dataset/Reichel/images_with_faces/1039301_547504_image.jpeg,Pessimistic,0.7447,0.1765,0.7447,0.0113,0.0675
Sample_Dataset/Reichel/images_with_faces/1039389_547564_image.jpeg,Optimistic,0.9939,0.9939,0.0007,0.0008,0.0046
Sample_Dataset/Reichel/images_with_faces/1039390_547565_image.jpeg,Neutral,0.639,0.1336,0.0819,0.1455,0.639
Sample_Dataset/Reichel/images_with_faces/1039423_547571_image.jpeg,Optimistic,0.7019,0.7019,0.0092,0.0901,0.1988
Sample_Dataset/Reichel/images_with_faces/1039425_547572_image.jpeg,Neutral,0.7638,0.1227,0.0105,0.1029,0.7638
Sample_Dataset/Reichel/images_with_faces/1039426_547573_image.jpeg,Optimistic,0.7844,0.7844,0.0016,0.0112,0.2028
Sample_Dataset/Reichel/images_with_faces/1039427_547574_image.jpeg,Optimistic,0.8995,0.8995,0.0132,0.0572,0.0301
Sample_Dataset/Reichel/images_with_faces/1040474_548429_image.jpeg,Neutral,0.5841,0.2977,0.0268,0.0914,0.5841
Sample_Dataset/Reichel/images_with_faces/1040475_548430_image.jpeg,Optimistic,0.5206,0.5206,0.012,0.0144,0.453
Sample_Dataset/Reichel/images_with_faces/1040478_548433_image.jpeg,Neutral,0.9698,0.0172,0.0109,0.0021,0.9698
Sample_Dataset/Reichel/images_with_faces/1040490_548445_image.jpeg,Neutral,0.9328,0.0496,0.006,0.0115,0.9328
Sample_Dataset/Reichel/images_with_faces/1040494_548449_image.jpeg,Unknown,0.3771,0.017,0.2402,0.3771,0.3657
Sample_Dataset/Reichel/images_with_faces/1040521_548478_image.jpeg,Unknown,0.3607,0.3607,0.0064,0.3414,0.2914
Sample_Dataset/Reichel/images_with_faces/1040528_548484_image.jpeg,Neutral,0.6222,0.2946,0.0187,0.0645,0.6222
